"GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000009","Barking and Dagenham 008",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
"E02000010","Barking and Dagenham 009",
